日期,代號,名稱,當日沖銷交易成交股數,當日沖銷交易買進成交金額,當日沖銷交易賣出成交金額,市場別
2026-08-20,00400A,主動國泰動能高息,7425000,108051860,108270630,上市
2026-08-20,00401A,主動摩根台灣鑫收,910000,12112200,12084210,上市
2026-08-20,00402A,主動安聯美國科技,23000,221730,221500,上市
2026-08-20,00403A,主動統一升級50,46452000,463842370,465614950,上市
2026-08-20,00404A,主動聯博動能50,175000,1645320,1647470,上市
2026-08-20,00405A,主動富邦台灣龍耀,23076000,195058200,195584540,上市
2026-08-20,00406A,主動中信台灣收益,33512000,318365460,319347340,上市
2026-08-20,00407A,主動凱基台灣,4675000,44378050,44427590,上市
2026-08-20,00408A,主動第一金優股息,6000,62040,62050,上市
2026-08-20,00410A,主動永豐科技趨勢,534000,6023180,6016830,上市
2026-08-20,0050,元大台灣50,5155000,533444050,534258950,上市
2026-08-20,0051,元大中型100,6000,849350,851050,上市
2026-08-20,0052,富邦科技,1298000,78229700,78343450,上市
2026-08-20,0053,元大電子,0,0,0,上市
2026-08-20,0055,元大MSCI金融,27000,1165360,1166970,上市
2026-08-20,0056,元大高股息,4203000,219132850,218827000,上市
2026-08-20,0057,富邦摩台,2000,614150,617500,上市
2026-08-20,0061,元大寶滬深,3000,73190,73370,上市
2026-08-20,006201,元大富櫃50,26000,1108500,1111130,上櫃
2026-08-20,006203,元大MSCI台灣,0,0,0,上市
2026-08-20,006204,永豐臺灣加權,0,0,0,上市
2026-08-20,006205,富邦上証,3000,122150,122130,上市
2026-08-20,006206,元大上證50,0,0,0,上市
2026-08-20,006207,復華滬深,0,0,0,上市
2026-08-20,006208,富邦台50,177000,41974450,41985200,上市
2026-08-20,00631L,元大台灣50正2,48413000,1648651660,1651336110,上市
2026-08-20,00632R,元大台灣50反1,27673000,283235740,283396950,上市
2026-08-20,00633L,富邦上証正2,146000,7097840,7076290,上市
2026-08-20,00634R,富邦上証反1,2000,6190,6200,上市
2026-08-20,00635U,期元大S&P黃金,301000,14010290,14007040,上市
2026-08-20,00636,國泰中國A50,28000,781890,783250,上市
2026-08-20,00637L,元大滬深300正2,2630000,52719090,52761650,上市
2026-08-20,00638R,元大滬深300反1,0,0,0,上市
2026-08-20,00639,富邦深100,14000,233860,235040,上市
2026-08-20,00640L,富邦日本正2,3000,317250,317200,上市
2026-08-20,00641R,富邦日本反1,19000,70960,70770,上市
2026-08-20,00642U,期元大S&P石油,31000,873010,871870,上市
2026-08-20,00643,群益深証中小,384000,7158190,7158830,上市
2026-08-20,00645,富邦日本,0,0,0,上市
2026-08-20,00646,元大S&P500,8000,619850,619800,上市
2026-08-20,00647L,元大S&P500正2,1000,140200,140450,上市
2026-08-20,00648R,元大S&P500反1,0,0,0,上市
