日期,市場別,指數名稱,收盤價,漲跌點數
2026-07-20,上市,加權指數,42449.7,-221.57
2026-07-20,上櫃,櫃買指數,368.53,-9.91
2026-07-17,上市,加權指數,42671.27,-2953.71
2026-07-17,上櫃,櫃買指數,378.44,-28.57
2026-07-16,上市,加權指數,45624.98,-6.61
2026-07-16,上櫃,櫃買指數,407.01,-9.4
2026-07-15,上市,加權指數,45631.59,893.64
2026-07-15,上櫃,櫃買指數,416.41,9.0
2026-07-14,上市,加權指數,44737.95,-642.57
2026-07-14,上櫃,櫃買指數,407.41,-12.49
2026-07-13,上市,加權指數,45380.52,25.91
2026-07-13,上櫃,櫃買指數,419.9,-5.09
2026-07-09,上市,加權指數,45354.61,-379.8
2026-07-09,上櫃,櫃買指數,424.99,3.6
2026-07-08,上市,加權指數,45734.41,255.3
2026-07-08,上櫃,櫃買指數,421.39,1.92
2026-07-07,上市,加權指數,45479.11,-1077.28
2026-07-07,上櫃,櫃買指數,419.47,-20.33
2026-07-06,上市,加權指數,46556.39,-224.23
2026-07-06,上櫃,櫃買指數,439.8,-5.58
2026-07-03,上市,加權指數,46780.62,36.46
2026-07-03,上櫃,櫃買指數,445.38,5.87
2026-07-02,上市,加權指數,46744.16,-274.83
2026-07-02,上櫃,櫃買指數,439.51,8.28
2026-07-01,上市,加權指數,47018.99,893.08
2026-07-01,上櫃,櫃買指數,431.23,4.26
2026-06-30,上市,加權指數,46125.91,1126.01
2026-06-30,上櫃,櫃買指數,426.97,14.04
2026-06-29,上市,加權指數,44999.9,428.14
2026-06-29,上櫃,櫃買指數,412.93,-2.33
2026-06-26,上市,加權指數,44571.76,-1683.5
2026-06-26,上櫃,櫃買指數,415.26,-24.58
2026-06-25,上市,加權指數,46255.26,211.66
2026-06-25,上櫃,櫃買指數,439.84,-2.25
2026-06-24,上市,加權指數,46043.6,-1057.05
2026-06-24,上櫃,櫃買指數,442.09,1.28
2026-06-23,上市,加權指數,47100.65,-640.86
2026-06-23,上櫃,櫃買指數,440.81,-12.69
2026-06-22,上市,加權指數,47741.51,1276.31
2026-06-22,上櫃,櫃買指數,453.5,6.44
2026-06-18,上市,加權指數,46465.2,587.81
2026-06-18,上櫃,櫃買指數,447.06,13.72
2026-06-17,上市,加權指數,45877.39,68.2
2026-06-17,上櫃,櫃買指數,433.34,3.08
2026-06-16,上市,加權指數,45809.19,412.2
2026-06-16,上櫃,櫃買指數,430.26,0.89
2026-06-15,上市,加權指數,45396.99,1227.95
2026-06-15,上櫃,櫃買指數,429.37,9.65
2026-06-12,上市,加權指數,44169.04,1019.58
2026-06-12,上櫃,櫃買指數,419.72,12.63
2026-06-11,上市,加權指數,43149.46,-76.08
2026-06-11,上櫃,櫃買指數,407.09,1.18
2026-06-10,上市,加權指數,43225.54,-1478.9
2026-06-10,上櫃,櫃買指數,405.91,-18.8
2026-06-09,上市,加權指數,44704.44,1201.66
2026-06-09,上櫃,櫃買指數,424.71,12.14
2026-06-08,上市,加權指數,43502.78,-1568.16
2026-06-08,上櫃,櫃買指數,412.57,-18.5
2026-06-05,上市,加權指數,45070.94,-606.52
2026-06-05,上櫃,櫃買指數,431.07,-9.03
2026-06-04,上市,加權指數,45677.46,-781.7
2026-06-04,上櫃,櫃買指數,440.1,-6.72
2026-06-03,上市,加權指數,46459.16,901.85
2026-06-03,上櫃,櫃買指數,446.82,6.18
2026-06-02,上市,加權指數,45557.31,219.4
2026-06-02,上櫃,櫃買指數,440.64,-5.38
2026-06-01,上市,加權指數,45337.91,604.97
2026-06-01,上櫃,櫃買指數,446.02,2.38
2026-05-29,上市,加權指數,44732.94,1096.5
2026-05-29,上櫃,櫃買指數,443.64,11.16
2026-05-28,上市,加權指數,43636.44,-620.36
2026-05-28,上櫃,櫃買指數,432.48,-7.71
2026-05-27,上市,加權指數,44256.8,731.43
2026-05-27,上櫃,櫃買指數,440.19,0.89
2026-05-26,上市,加權指數,43525.37,-119.03
2026-05-26,上櫃,櫃買指數,439.3,4.31
2026-05-25,上市,加權指數,43644.4,1376.43
2026-05-25,上櫃,櫃買指數,434.99,11.74
2026-05-22,上市,加權指數,42267.97,899.76
2026-05-22,上櫃,櫃買指數,423.25,13.45
2026-05-21,上市,加權指數,41368.21,1347.39
2026-05-21,上櫃,櫃買指數,409.8,13.38
2026-05-20,上市,加權指數,40020.82,-154.74
2026-05-20,上櫃,櫃買指數,396.42,-1.76
2026-05-19,上市,加權指數,40175.56,-716.26
2026-05-19,上櫃,櫃買指數,398.18,-11.45
2026-05-18,上市,加權指數,40891.82,-280.54
2026-05-18,上櫃,櫃買指數,409.63,-1.55
2026-05-15,上市,加權指數,41172.36,-579.39
2026-05-15,上櫃,櫃買指數,411.18,-15.39
2026-05-14,上市,加權指數,41751.75,377.25
2026-05-14,上櫃,櫃買指數,426.57,6.03
2026-05-13,上市,加權指數,41374.5,-523.82
2026-05-13,上櫃,櫃買指數,420.54,-5.17
2026-05-12,上市,加權指數,41898.32,108.26
2026-05-12,上櫃,櫃買指數,425.71,3.7
2026-05-11,上市,加權指數,41790.06,186.12
2026-05-11,上櫃,櫃買指數,422.01,12.57
2026-05-08,上市,加權指數,41603.94,-329.84
2026-05-08,上櫃,櫃買指數,409.44,-6.97
2026-05-07,上市,加權指數,41933.78,794.93
2026-05-07,上櫃,櫃買指數,416.41,6.12
2026-05-06,上市,加權指數,41138.85,369.56
2026-05-06,上櫃,櫃買指數,410.29,2.85
2026-05-05,上市,加權指數,40769.29,64.15
2026-05-05,上櫃,櫃買指數,407.44,9.19
2026-05-04,上市,加權指數,40705.14,1778.51
2026-05-04,上櫃,櫃買指數,398.25,13.67
2026-04-30,上市,加權指數,38926.63,-376.87
2026-04-30,上櫃,櫃買指數,384.58,1.83
2026-04-29,上市,加權指數,39303.5,-218.23
2026-04-29,上櫃,櫃買指數,382.75,0.69
2026-04-28,上市,加權指數,39521.73,-94.9
2026-04-28,上櫃,櫃買指數,382.06,5.01
2026-04-27,上市,加權指數,39616.63,684.23
2026-04-27,上櫃,櫃買指數,377.05,-4.49
2026-04-24,上市,加權指數,38932.4,1218.25
2026-04-24,上櫃,櫃買指數,381.54,0.22
2026-04-23,上市,加權指數,37714.15,-164.32
2026-04-23,上櫃,櫃買指數,381.32,-13.76
2026-04-22,上市,加權指數,37878.47,273.36
2026-04-22,上櫃,櫃買指數,395.08,4.51
2026-04-21,上市,加權指數,37605.11,646.31
2026-04-21,上櫃,櫃買指數,390.57,7.07
2026-04-20,上市,加權指數,36958.8,154.46
2026-04-20,上櫃,櫃買指數,383.5,11.16
2026-04-17,上市,加權指數,36804.34,-327.68
2026-04-17,上櫃,櫃買指數,372.34,6.38
2026-04-16,上市,加權指數,37132.02,409.88
2026-04-16,上櫃,櫃買指數,365.96,6.1
2026-04-15,上市,加權指數,36722.14,426.02
2026-04-15,上櫃,櫃買指數,359.86,3.86
2026-04-14,上市,加權指數,36296.12,838.83
2026-04-14,上櫃,櫃買指數,356.0,3.77
2026-04-13,上市,加權指數,35457.29,39.46
2026-04-13,上櫃,櫃買指數,352.23,2.73
2026-04-10,上市,加權指數,35417.83,556.67
2026-04-10,上櫃,櫃買指數,349.5,6.93
2026-04-09,上市,加權指數,34861.16,99.78
2026-04-09,上櫃,櫃買指數,342.57,1.37
2026-04-08,上市,加權指數,34761.38,1531.56
2026-04-08,上櫃,櫃買指數,341.2,15.59
2026-04-07,上市,加權指數,33229.82,657.39
2026-04-07,上櫃,櫃買指數,325.61,7.71
2026-04-02,上市,加權指數,32572.43,-602.39
2026-04-02,上櫃,櫃買指數,317.9,-3.29
2026-04-01,上市,加權指數,33174.82,1451.83
2026-04-01,上櫃,櫃買指數,321.19,13.46
2026-03-31,上市,加權指數,31722.99,-795.17
2026-03-31,上櫃,櫃買指數,307.73,-12.67
2026-03-30,上市,加權指數,32518.16,-594.43
2026-03-30,上櫃,櫃買指數,320.4,-4.6
2026-03-27,上市,加權指數,33112.59,-225.03
2026-03-27,上櫃,櫃買指數,325.0,2.2
2026-03-26,上市,加權指數,33337.62,-101.49
2026-03-26,上櫃,櫃買指數,322.8,-2.07
2026-03-25,上市,加權指數,33439.11,826.87
2026-03-25,上櫃,櫃買指數,324.87,12.13
2026-03-24,上市,加權指數,32612.24,-110.26
2026-03-24,上櫃,櫃買指數,312.74,-4.28
2026-03-23,上市,加權指數,32722.5,-821.38
2026-03-23,上櫃,櫃買指數,317.02,-11.38
2026-03-20,上市,加權指數,33543.88,-145.8
2026-03-20,上櫃,櫃買指數,328.4,-1.39
2026-03-19,上市,加權指數,33689.68,-658.9
2026-03-19,上櫃,櫃買指數,329.79,0.39
2026-03-18,上市,加權指數,34348.58,512.01
2026-03-18,上櫃,櫃買指數,329.4,8.37
2026-03-17,上市,加權指數,33836.57,494.06
2026-03-17,上櫃,櫃買指數,321.03,3.84
2026-03-16,上市,加權指數,33342.51,-57.81
2026-03-16,上櫃,櫃買指數,317.19,4.29
2026-03-13,上市,加權指數,33400.32,-181.54
2026-03-13,上櫃,櫃買指數,312.9,1.31
2026-03-12,上市,加權指數,33581.86,-532.33
2026-03-12,上櫃,櫃買指數,311.59,0.09
2026-03-11,上市,加權指數,34114.19,1342.32
2026-03-11,上櫃,櫃買指數,311.5,13.97
2026-03-10,上市,加權指數,32771.87,661.45
2026-03-10,上櫃,櫃買指數,297.53,8.57
2026-03-09,上市,加權指數,32110.42,-1489.12
2026-03-09,上櫃,櫃買指數,288.96,-17.53
2026-03-06,上市,加權指數,33599.54,-73.4
2026-03-06,上櫃,櫃買指數,306.49,2.28
2026-03-05,上市,加權指數,33672.94,844.06
2026-03-05,上櫃,櫃買指數,304.21,10.41
2026-03-04,上市,加權指數,32828.88,-1494.77
2026-03-04,上櫃,櫃買指數,293.8,-15.01
2026-03-03,上市,加權指數,34323.65,-771.44
2026-03-03,上櫃,櫃買指數,308.81,-7.2
2026-03-02,上市,加權指數,35095.09,-319.4
2026-03-02,上櫃,櫃買指數,316.01,-0.72
2026-02-26,上市,加權指數,35414.49,1.42
2026-02-26,上櫃,櫃買指數,316.73,3.49
2026-02-25,上市,加權指數,35413.07,712.25
2026-02-25,上櫃,櫃買指數,313.24,1.8
