代號,更新日期,名稱,市場別,產業別,實收資本額,發行股數
1101,2026-08-30,臺灣水泥股份有限公司,上市,水泥工業,77231817420,7523181742
1102,2026-08-30,亞洲水泥股份有限公司,上市,水泥工業,35465628810,3546562881
1103,2026-08-30,嘉新水泥股份有限公司,上市,水泥工業,8328745530,832874553
1104,2026-08-30,環球水泥股份有限公司,上市,水泥工業,6866818160,686681816
1108,2026-08-30,幸福水泥股份有限公司,上市,水泥工業,4047380490,404738049
1109,2026-08-30,信大水泥股份有限公司,上市,水泥工業,3411588680,341158868
1110,2026-08-30,東南水泥股份有限公司,上市,水泥工業,5720007970,572000797
1201,2026-08-30,味全食品工業股份有限公司,上市,食品工業,5060629140,506062914
1203,2026-08-30,味王股份有限公司,上市,食品工業,2400000000,240000000
1210,2026-08-30,大成長城企業股份有限公司,上市,食品工業,8947672220,894767222
1213,2026-08-30,大西洋飲料股份有限公司,上市,食品工業,566226270,56622627
1215,2026-08-30,台灣卜蜂企業股份有限公司,上市,食品工業,2947900980,294790098
1216,2026-08-30,統一企業股份有限公司,上市,食品工業,56820154210,5682015421
1217,2026-08-30,愛之味股份有限公司,上市,食品工業,4945133360,494513336
1218,2026-08-30,泰山企業股份有限公司,上市,食品工業,4999990380,499999038
1219,2026-08-30,福壽實業股份有限公司,上市,食品工業,3412383640,341238364
1220,2026-08-30,台榮產業股份有限公司,上市,食品工業,1770779440,177077944
1225,2026-08-30,福懋油脂股份有限公司,上市,食品工業,2422683060,242268306
1227,2026-08-30,佳格食品股份有限公司,上市,食品工業,9150895910,915089591
1229,2026-08-30,聯華實業控股股份有限公司,上市,食品工業,17959606680,1795960668
1231,2026-08-30,聯華食品工業股份有限公司,上市,食品工業,3282999220,328299922
1232,2026-08-30,大統益股份有限公司,上市,食品工業,1599749150,159974915
1233,2026-08-30,天仁茶業股份有限公司,上市,食品工業,905919480,90591948
1234,2026-08-30,黑松股份有限公司,上市,食品工業,4018710940,401871094
1235,2026-08-30,興泰實業股份有限公司,上市,食品工業,1885778360,188577836
1236,2026-08-30,宏亞食品股份有限公司,上市,食品工業,866740080,86674008
1240,2026-08-30,茂生農經股份有限公司,上櫃,農業科技業,442323730,44232373
1256,2026-08-30,鮮活控股股份有限公司,上市,食品工業,357813780,35781378
1259,2026-08-30,安心食品服務股份有限公司,上櫃,觀光餐旅,323895000,32389500
1264,2026-08-30,德麥食品股份有限公司,上櫃,食品工業,370523670,37052367
1268,2026-08-30,漢來美食股份有限公司,上櫃,觀光餐旅,422237300,42223730
1294,2026-08-30,漢田生技股份有限公司,上櫃,食品工業,366258750,36625875
1295,2026-08-30,生合生物科技股份有限公司,上櫃,食品工業,375998000,34474800
1301,2026-08-30,台灣塑膠工業股份有限公司,上市,塑膠工業,63657407810,6365740781
1303,2026-08-30,南亞塑膠工業股份有限公司,上市,塑膠工業,79308215890,7930821589
1304,2026-08-30,台灣聚合化學品股份有限公司,上市,塑膠工業,11887635000,1188763500
1305,2026-08-30,華夏海灣塑膠股份有限公司,上市,塑膠工業,5810504940,581050494
1307,2026-08-30,三芳化學工業股份有限公司,上市,塑膠工業,3978181260,397818126
1308,2026-08-30,亞洲聚合股份有限公司,上市,塑膠工業,5937439190,593743919
1309,2026-08-30,台達化學工業股份有限公司,上市,塑膠工業,3975868480,397586848
1310,2026-08-30,台灣苯乙烯工業股份有限公司,上市,塑膠工業,5278697640,527869764
1312,2026-08-30,國喬石油化學股份有限公司,上市,塑膠工業,15266203280,1506620328
1313,2026-08-30,聯成化學科技股份有限公司,上市,塑膠工業,13308461070,1330846107
1314,2026-08-30,中國石油化學工業開發(股)公司,上市,塑膠工業,37848501300,3784850130
1315,2026-08-30,達新工業股份有限公司,上市,塑膠工業,990990000,99099000
1316,2026-08-30,上曜建設開發股份有限公司,上市,建材營造,4016461500,401646150
1319,2026-08-30,東陽實業廠股份有限公司,上市,汽車工業,5914770680,591477068
1321,2026-08-30,大洋塑膠工業股份有限公司,上市,塑膠工業,2272282680,227228268
1323,2026-08-30,永裕塑膠工業股份有限公司,上市,塑膠工業,912745540,91274554
1324,2026-08-30,地球綜合工業股份有限公司,上市,塑膠工業,751218820,75121882
1325,2026-08-30,恒大股份有限公司,上市,塑膠工業,852811980,85281198
1326,2026-08-30,台灣化學纖維股份有限公司,上市,塑膠工業,58611862910,5861186291
1336,2026-08-30,台翰精密科技股份有限公司,上櫃,電子零組件,776144190,77614419
1337,2026-08-30,亞洲塑膠再生資源控股有限公司,上市,塑膠工業,2689547290,268954729
1338,2026-08-30,廣華控股有限公司,上市,汽車工業,838400000,83840000
1339,2026-08-30,昭輝實業股份有限公司,上市,汽車工業,741238750,74123875
1340,2026-08-30,勝悅新材料有限公司,上市,塑膠工業,1529228550,152922855
1341,2026-08-30,富林塑膠工業(開曼)控股(股)公司,上市,塑膠工業,528506340,52850634
1342,2026-08-30,八貫企業股份有限公司,上市,其他,780009020,78000902
1402,2026-08-30,遠東新世紀股份有限公司,上市,紡織纖維,53528752270,5352875227
1409,2026-08-30,新光合成纖維股份有限公司,上市,紡織纖維,16184092860,1618409286
1410,2026-08-30,南洋染整股份有限公司,上市,紡織纖維,620000000,62000000
1413,2026-08-30,宏洲纖維工業股份有限公司,上市,紡織纖維,1321124540,132112454
1414,2026-08-30,東和紡織股份有限公司,上市,紡織纖維,1980000000,198000000
1416,2026-08-30,廣豐實業股份有限公司,上市,其他,1853421680,185342168
1417,2026-08-30,嘉裕股份有限公司,上市,紡織纖維,1899418400,189941840
1418,2026-08-30,東華龍股份有限公司,上市,紡織纖維,568343090,56834309
1419,2026-08-30,新光紡織股份有限公司,上市,紡織纖維,3000412800,300041280
1423,2026-08-30,利華羊毛工業股份有限公司,上市,紡織纖維,996480000,99648000
1432,2026-08-30,大魯閣實業股份有限公司,上市,運動休閒,1080000000,108000000
1434,2026-08-30,福懋興業股份有限公司,上市,紡織纖維,16846646370,1684664637
1435,2026-08-30,中福國際(股)公司,上市,其他,1397800800,139780080
1436,2026-08-30,華友聯開發股份有限公司,上市,建材營造,1941517950,194151795
1437,2026-08-30,勤益投資控股股份有限公司,上市,其他,2018712840,201871284
1438,2026-08-30,三地開發地產股份有限公司,上市,建材營造,1112057590,111205759
1439,2026-08-30,雋揚國際股份有限公司,上市,建材營造,920000000,92000000
1440,2026-08-30,臺南紡織股份有限公司,上市,紡織纖維,16568158570,1656815857
1441,2026-08-30,大東紡織股份有限公司,上市,紡織纖維,617443870,61744387
1442,2026-08-30,名軒開發股份有限公司,上市,建材營造,3662113580,366211358
1443,2026-08-30,立益物流開發股份有限公司,上市,其他,1353430110,135343011
1444,2026-08-30,力麗企業股份有限公司,上市,紡織纖維,9955950590,995595059
1445,2026-08-30,大宇紡織股份有限公司,上市,紡織纖維,1306660340,130666034
1446,2026-08-30,宏和精密紡織股份有限公司,上市,紡織纖維,1377095130,137709513
1447,2026-08-30,力鵬企業股份有限公司,上市,紡織纖維,9100712420,910071242
1449,2026-08-30,佳和實業股份有限公司,上市,紡織纖維,1271145720,127114572
1451,2026-08-30,年興紡織股份有限公司,上市,紡織纖維,1980000000,198000000
1452,2026-08-30,宏益纖維工業股份有限公司,上市,紡織纖維,1326414000,132641400
1453,2026-08-30,大將開發股份有限公司,上市,建材營造,1132430480,113243048
1454,2026-08-30,台灣富綢纖維股份有限公司,上市,紡織纖維,1298338480,129833848
1455,2026-08-30,集盛實業股份有限公司,上市,紡織纖維,5316883800,531688380
1456,2026-08-30,怡華實業股份有限公司,上市,建材營造,937200000,93720000
1457,2026-08-30,宜進實業股份有限公司,上市,紡織纖維,3167300220,316730022
1459,2026-08-30,聯發紡織纖維股份有限公司,上市,紡織纖維,2689716800,268971680
1460,2026-08-30,宏遠興業股份有限公司,上市,紡織纖維,6946434840,694643484
1463,2026-08-30,強盛新投資控股股份有限公司,上市,紡織纖維,1732683810,173268381
1464,2026-08-30,得力實業股份有限公司,上市,紡織纖維,4255757330,425575733
1465,2026-08-30,偉全實業股份有限公司,上市,紡織纖維,1036072670,103607267
1466,2026-08-30,聚隆纖維股份有限公司,上市,紡織纖維,1111573200,111157320
1467,2026-08-30,南緯實業股份有限公司,上市,紡織纖維,2336246670,233624667
1468,2026-08-30,昶和纖維興業股份有限公司,上市,紡織纖維,1604052440,160405244
1470,2026-08-30,大統新創股份有限公司,上市,紡織纖維,857670000,85767000
1471,2026-08-30,首利實業股份有限公司,上市,電子零組件,1504145360,150414536
1472,2026-08-30,三洋實業股份有限公司,上市,建材營造,524880820,52488082
1473,2026-08-30,台南企業股份有限公司,上市,紡織纖維,1461535340,146153534
1474,2026-08-30,弘裕企業股份有限公司,上市,紡織纖維,1298969690,129896969
1475,2026-08-30,台灣業旺股份有限公司,上市,紡織纖維,660167490,66016749
1476,2026-08-30,儒鴻企業股份有限公司,上市,紡織纖維,2743671110,274367111
1477,2026-08-30,聚陽實業股份有限公司,上市,紡織纖維,2466937130,246693713
1503,2026-08-30,士林電機廠股份有限公司,上市,電機機械,5209722230,520972223
1504,2026-08-30,東元電機股份有限公司,上市,電機機械,23764406840,2376440684
1506,2026-08-30,正道工業股份有限公司,上市,電機機械,3003885010,300388501
1512,2026-08-30,瑞利企業股份有限公司,上市,汽車工業,981834980,98183498
1513,2026-08-30,中興電工機械股份有限公司,上市,電機機械,5031125150,503112515
1514,2026-08-30,亞力電機股份有限公司,上市,電機機械,2785706420,278570642
1515,2026-08-30,力山工業股份有限公司,上市,電機機械,1814735000,181473500
1516,2026-08-30,川飛能源股份有限公司,上市,其他,400081950,40008195
1517,2026-08-30,利奇機械工業股份有限公司,上市,電機機械,2200000070,220000007
1519,2026-08-30,華城電機股份有限公司,上市,電機機械,3474689290,347468929
1521,2026-08-30,大億交通工業製造股份有限公司,上市,汽車工業,762300000,76230000
1522,2026-08-30,堤維西交通工業股份有限公司,上市,汽車工業,3428978810,312897881
1524,2026-08-30,耿鼎企業股份有限公司,上市,汽車工業,1653103970,165310397
1525,2026-08-30,江申工業股份有限公司,上市,汽車工業,734001350,73400135
1526,2026-08-30,日馳企業股份有限公司,上市,電機機械,600000000,60000000
