日期,市場別,代號,名稱,狀態,原始資料
2026-07-22,上市,050108,臺指反國票63購01,注意,12 | 050108 | 臺指反國票63購01 | 1 | 最近六個營業日累積收盤價漲幅達32.91%﹝第一款﹞。 | 115.07.22 | 0.65 | -----
2026-07-22,上市,050302,國巨國泰57購02,注意,13 | 050302 | 國巨國泰57購02 | 1 | 最近六個營業日累積收盤價跌幅達29.84%。且07月22日中信託自證券商賣出之比率為100.00% 。且07月22日國泰自營證券商買進之比率為100.00% ﹝第五款﹞。 | 115.07.22 | 22.20 | -----
2026-07-22,上市,050307,亞航國泰57購01,注意,14 | 050307 | 亞航國泰57購01 | 4 | 最近六個營業日累積收盤價漲幅達46.52%﹝第一款﹞。 | 115.07.22 | 6.60 | -----
2026-07-22,上市,053594,訊芯統一5A購01,注意,21 | 053594 | 訊芯統一5A購01 | 1 | 最近六個營業日累積收盤價跌幅達35.95%﹝第一款﹞。 | 115.07.22 | 1.02 | -----
2026-07-22,上市,056068,金像電統一72購02,注意,24 | 056068 | 金像電統一72購02 | 2 | 最近六個營業日累積收盤價跌幅達29.29%。且07月22日統一自營證券商買進之比率為79.48%。且07月22日台新證券證券商賣出之比率為49.47%﹝第五款﹞。 | 115.07.22 | 0.57 | -----
2026-07-22,上市,059860,新唐統一63購01,注意,28 | 059860 | 新唐統一63購01 | 1 | 最近六個營業日累積收盤價跌幅達36.19%﹝第一款﹞。 | 115.07.22 | 1.62 | -----
2026-07-22,上市,066762,國巨永豐65購01,注意,29 | 066762 | 國巨永豐65購01 | 4 | 最近六個營業日累積收盤價跌幅達52.00%﹝第一款﹞。 | 115.07.22 | 4.50 | -----
2026-07-22,上市,067647,國巨凱基5B購07,注意,30 | 067647 | 國巨凱基5B購07 | 1 | 最近六個營業日累積收盤價跌幅達45.60%﹝第一款﹞。 | 115.07.22 | 3.18 | -----
2026-07-22,上市,074860,台積電統一63購02,注意,33 | 074860 | 台積電統一63購02 | 1 | 最近六個營業日累積收盤價跌幅達37.98%﹝第一款﹞。 | 115.07.22 | 3.06 | -----
2026-07-22,上市,2360,致茂,注意,72 | 2360 | 致茂 | 3 | 六個營業日起迄兩個營業日收盤價價差達220.00元且當日收盤價為最近六個營業日收盤價最高者﹝第十一款﹞。 | 115.07.22 | 2125.00 | 67.01
2026-07-22,上市,2634,漢翔,注意,103 | 2634 | 漢翔 | 2 | 最近六個營業日之累積週轉率為51.14%。且07月22日之週轉率為16.31%﹝第十款﹞。 | 115.07.22 | 64.40 | 80.50
2026-07-22,上市,3167,大量,注意,123 | 3167 | 大量 | 10 | 07月22日之本益比為68.13，且股價淨值比為17.28 。另當日週轉率為 6.38%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。 | 115.07.22 | 699.00 | 68.13
2026-07-22,上櫃,3374,精材,注意,1 | 3374 | 精材 | 13 | 當日本益比為81.32、股價淨值比為11.19且為其所屬產業類別股價淨值比之2.08倍、當日週轉率達12.52%(第六款) | 115/07/22 | 418.00 | 81.32 | ../../mainboard/listed/company-detail.html?code=3374
2026-07-22,上櫃,4139,馬光-KY,注意,1 | 4139 | 馬光-KY | 13 | 最近六個營業日(含當日)累積之最後成交價漲幅達40.14%(第一款) | 115/07/22 | 42.00 | N/A | ../../mainboard/listed/company-detail.html?code=4139
2026-07-22,上市,4807,日成-KY,注意,146 | 4807 | 日成-KY | 2 | 最近六十個營業日起迄兩個營業日之收盤價漲幅達135.00% ﹝第二款﹞。 | 115.07.22 | 39.95 | 29.16
2026-07-22,上櫃,49231,力士一,注意,1 | 49231 | 力士一 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達23.83%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣42元(第一款) | 115/07/22 | 148.00 | N/A | ../../mainboard/listed/company-detail.html?code=49231
2026-07-22,上櫃,4939,亞電,注意,1 | 4939 | 亞電 | 13 | 最近六個營業日(含當日)累積之最後成交價漲幅達27.24%，當日之成交量較最近六十個營業日日平均成交量放大5.96倍(第三款)當日週轉率達75.01%(第四款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.32%，當日之前一個營業日當日沖銷成交量占總成交量達65.39%（第十三款) | 115/07/22 | 70.90 | N/A | ../../mainboard/listed/company-detail.html?code=4939
2026-07-22,上櫃,6173,信昌電,注意,1 | 6173 | 信昌電 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達28.09%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣53.5元(第一款) | 115/07/22 | 178.00 | 47.72 | ../../mainboard/listed/company-detail.html?code=6173
2026-07-22,上櫃,6182,合晶,注意,1 | 6182 | 合晶 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達35.35%(第一款)當日週轉率達22.55%(第四款) | 115/07/22 | 129.00 | 3225.00 | ../../mainboard/listed/company-detail.html?code=6182
2026-07-22,上櫃,61828,合晶八,注意,1 | 61828 | 合晶八 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達26.09%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣129元(第一款) | 115/07/22 | 413.00 | N/A | ../../mainboard/listed/company-detail.html?code=61828
2026-07-22,上櫃,6217,中探針,注意,1 | 6217 | 中探針 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達27.23%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣56.5元(第一款)當日週轉率達8.11%(第四款) | 115/07/22 | 172.50 | N/A | ../../mainboard/listed/company-detail.html?code=6217
2026-07-22,上市,6226,光鼎,注意,161 | 6226 | 光鼎 | 8 | 最近六個營業日累積收盤價跌幅達27.78%。且07月22日之週轉率為17.22%﹝第四款﹞。 | 115.07.22 | 19.10 | -----
2026-07-22,上市,6243,迅杰,注意,162 | 6243 | 迅杰 | 7 | 最近六個營業日累積收盤價漲幅達25.59%。且07月22日之成交量為最近六十個營業日日平均成交量之5.62倍﹝第三款﹞。且07月22日之週轉率為16.75%﹝第四款﹞。 | 115.07.22 | 50.10 | -----
2026-07-22,上市,6414,樺漢,注意,165 | 6414 | 樺漢 | 1 | 最近六個營業日累積收盤價漲幅達27.15%。且六個營業日起迄兩個營業日收盤價價差達95.50 元﹝第一款﹞。 | 115.07.22 | 490.00 | 22.77
2026-07-22,上市,6505,台塑化,注意,172 | 6505 | 台塑化 | 4 | 最近六個營業日累積收盤價漲幅達26.60%。且07月22日之成交量為最近六十個營業日日平均成交量之5.89倍﹝第三款﹞。 | 115.07.22 | 85.10 | 30.50
2026-07-22,上櫃,6517,保勝光學,注意,1 | 6517 | 保勝光學 | 13 | 最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達62.96%，當日之前一個營業日當日沖銷成交量占總成交量達68.86%（第十三款) | 115/07/22 | 70.80 | 52.84 | ../../mainboard/listed/company-detail.html?code=6517
2026-07-22,上櫃,700902,光頡統一5A購01,注意,1 | 700902 | 光頡統一5A購01 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達50.75%(第一款) | 115/07/22 | 1.50 | N/A | ../../mainboard/listed/company-detail.html?code=700902
2026-07-22,上櫃,707461,金山電統一74購01,注意,1 | 707461 | 金山電統一74購01 | 13 | 最近六個營業日(含當日)累積之最後成交價跌幅達49.03%(第一款) | 115/07/22 | 1.91 | N/A | ../../mainboard/listed/company-detail.html?code=707461
2026-07-22,上市,7610,聯友金屬-創,注意,191 | 7610 | 聯友金屬-創 | 7 | 最近六個營業日累積收盤價跌幅達26.29%。且六個營業日起迄兩個營業日收盤價價差達595.00元﹝第一款﹞。 | 115.07.22 | 1835.00 | 113.62
2026-07-22,上市,8028,昇陽半導體,注意,198 | 8028 | 昇陽半導體 | 8 | 07月22日之本益比為68.14，且股價淨值比為10.18 。另當日週轉率為 5.46%，暨摩根大通證券商成交買進金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為11.44%。單一投資人當日買進該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上﹝第六款﹞。 | 115.07.22 | 308.00 | 68.14
2026-07-22,上市,8033,雷虎,注意,199 | 8033 | 雷虎 | 13 | 最近六個營業日累積收盤價跌幅達27.77%。且六個營業日起迄兩個營業日收盤價價差達73.00 元﹝第一款﹞。且07月22日之週轉率為14.04%﹝第四款﹞。07月22日之本益比為 293.28，且股價淨值比為15.55 。另當日週轉率為14.04%，且其股價淨值比較該類股股價淨值比四倍以上﹝第六款﹞。 | 115.07.22 | 196.50 | 293.28
2026-07-22,上櫃,8291,尚茂,注意,1 | 8291 | 尚茂 | 13 | 最近六個營業日(含當日)累積之最後成交價漲幅達44.6%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達140.66%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達172.69%(第二款) | 115/07/22 | 39.95 | N/A | ../../mainboard/listed/company-detail.html?code=8291
2026-07-22,上櫃,8358,金居,注意,1 | 8358 | 金居 | 13 | 當日本益比為79.17、股價淨值比為12.78且為其所屬產業類別股價淨值比之3.27倍、當日週轉率達5.23%、摩根士丹利證券公司當日賣出該有價證券之成交金額達5.9億元，且占當日該有價證券之總成交金額10.65%、單一投資人當日賣出該有價證券之成交金額達5.9億元，且占當日該有價證券之總成交金額10.65%(第六款) | 115/07/22 | 412.50 | 79.17 | ../../mainboard/listed/company-detail.html?code=8358
2026-07-22,上市,9103,美德醫療-DR,注意,211 | 9103 | 美德醫療-DR | 6 | 公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價84.32 % ﹝第八款﹞。 | 115.07.22 | 5.50 | -----
2026-07-22,上市,911608,明輝-DR,注意,213 | 911608 | 明輝-DR | 9 | 公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價153.64% ﹝第八款﹞。 | 115.07.22 | 2.83 | -----
2026-07-21,上市,049899,台玻凱基5C購01,注意,11 | 049899 | 台玻凱基5C購01 | 2 | 最近六個營業日累積收盤價跌幅達37.84%﹝第一款﹞。 | 115.07.21 | 3.93 | -----
2026-07-21,上市,050307,亞航國泰57購01,注意,14 | 050307 | 亞航國泰57購01 | 4 | 最近六個營業日累積收盤價漲幅達45.23%﹝第一款﹞。 | 115.07.21 | 5.80 | -----
2026-07-21,上市,056068,金像電統一72購02,注意,24 | 056068 | 金像電統一72購02 | 2 | 最近六個營業日累積收盤價跌幅達29.16%。且07月21日統一自營證券商賣出之比率為99.89%。且07月21日台新證券證券商買進之比率為55.46%﹝第五款﹞。 | 115.07.21 | 0.59 | -----
2026-07-21,上市,1435,中福,注意,41 | 1435 | 中福 | 9 | 最近六個營業日累積收盤價跌幅達34.91%﹝第一款﹞。 | 115.07.21 | 18.70 | -----
2026-07-21,上市,1467,南緯,注意,45 | 1467 | 南緯 | 3 | 最近六個營業日累積收盤價漲幅達25.78%。且07月21日台新證券證券商買進之比率為45.29%﹝第五款﹞。 | 115.07.21 | 10.50 | -----
2026-07-21,上市,2483,百容,注意,93 | 2483 | 百容 | 9 | 最近六個營業日累積收盤價跌幅達35.70%﹝第一款﹞。 | 115.07.21 | 42.15 | 45.82
2026-07-21,上市,2483,百容,處置,25 | 115/07/21 | 2483 | 百容 | 2 | 連續三次 | 115/07/22～115/08/04 | 第二次處置 | １處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。 ２處置期間：自民國一百十五年七月二十二日起至一百十五年八月四日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。 ３處置措施： ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。 ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。 ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。 | 提供處置有價證券連結資訊 1.處置原因：提供公布日期近一個月之「公布注意交易資訊」數據標準 2.公開資訊觀測站：提供財務業務與重大訊息之精華版資訊
2026-07-21,上市,2492,華新科,注意,97 | 2492 | 華新科 | 11 | 最近六個營業日累積收盤價跌幅達40.93%。且六個營業日起迄兩個營業日收盤價價差達117.00元﹝第一款﹞。 | 115.07.21 | 273.00 | 52.30
2026-07-21,上市,3016,嘉晶,注意,110 | 3016 | 嘉晶 | 6 | 最近六個營業日累積收盤價跌幅達26.36%。且07月21日元大證券商買進之比率為38.50%﹝第五款﹞。 | 115.07.21 | 101.50 | 247.56
2026-07-21,上市,3026,禾伸堂,注意,113 | 3026 | 禾伸堂 | 8 | 最近六個營業日累積收盤價跌幅達25.81%。且六個營業日起迄兩個營業日收盤價價差達133.00元﹝第一款﹞。且07月21日之週轉率為12.25%﹝第四款﹞。07月21日之本益比為87.89，且股價淨值比為11.68 。另當日週轉率為12.25%，暨凱基證券商成交買進金額達新臺幣壹億元以上，且占當日該有價證券總成交金額比率為32.86%。單一投資人當日賣出該有價證券之成交金額占當日該有價證券總成交金額比率10%以上，且達新台幣壹億元以上﹝第六款﹞。 | 115.07.21 | 682.00 | 87.89
2026-07-21,上市,3026,禾伸堂,處置,29 | 115/07/21 | 3026 | 禾伸堂 | 2 | 連續三次 | 115/07/22～115/08/04 | 第二次處置 | １處置原因：該有價證券之交易，連續三個營業日達本公司「公布注意交易資訊」標準，且該股票於最近三十個營業日內曾發布處置交易資訊。 ２處置期間：自民國一百十五年七月二十二日起至一百十五年八月四日﹝十個營業日，如遇：ａ有價證券最後交易日在處置期間，僅處置至最後交易日，ｂ有價證券停止買賣、全日暫停交易則順延執行，ｃ開休市日變動則調整處置迄日〕。 ３處置措施： ａ以人工管制之撮合終端機執行撮合作業（約每二十分鐘撮合一次）。 ｂ所有投資人每日委託買賣該有價證券時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。 ｃ信用交易部分，應收足融資自備款或融券保證金。有關信用交易了結部分，則依相關規定辦理。 | 提供處置有價證券連結資訊 1.處置原因：提供公布日期近一個月之「公布注意交易資訊」數據標準 2.公開資訊觀測站：提供財務業務與重大訊息之精華版資訊
